Date,Close,High,Low,Open
2015-07-14,8454.099609,8480.25,8424.099609,8470.599609
2015-07-15,8523.799805,8531.400391,8462.950195,8463.400391
2015-07-16,8608.049805,8616.099609,8542.900391,8546.150391
2015-07-17,8609.849609,8642.950195,8593.150391,8623.650391
2015-07-20,8603.450195,8624.099609,8559.0,8623.900391
2015-07-21,8529.450195,8646.75,8517.900391,8601.5
2015-07-22,8633.5,8643.900391,8498.650391,8512.25
2015-07-23,8589.799805,8654.75,8573.799805,8643.950195
2015-07-24,8521.549805,8589.150391,8513.5,8588.150391
2015-07-27,8361.0,8492.200195,8351.549805,8492.099609
2015-07-28,8337.0,8397.400391,8321.75,8371.099609
2015-07-29,8375.049805,8381.5,8338.450195,8365.599609
2015-07-30,8421.799805,8458.900391,8408.299805,8417.0
2015-07-31,8532.849609,8548.950195,8448.0,8456.099609
2015-08-03,8543.049805,8563.950195,8508.099609,8510.650391
2015-08-04,8516.900391,8565.150391,8448.25,8564.099609
2015-08-05,8567.950195,8591.849609,8545.849609,8547.450195
2015-08-06,8588.650391,8606.299805,8551.5,8585.799805
2015-08-07,8564.599609,8595.950195,8552.700195,8580.799805
2015-08-10,8525.599609,8621.549805,8497.799805,8577.0
2015-08-11,8462.349609,8556.25,8441.299805,8548.450195
2015-08-12,8349.450195,8446.950195,8337.950195,8445.700195
2015-08-13,8355.849609,8429.5,8339.75,8384.450195
2015-08-14,8518.549805,8530.099609,8381.200195,8402.349609
2015-08-17,8477.299805,8530.599609,8428.049805,8530.5
2015-08-18,8466.549805,8525.75,8433.599609,8505.849609
2015-08-19,8495.150391,8520.450195,8425.950195,8468.049805
2015-08-20,8372.75,8501.349609,8359.75,8471.049805
2015-08-21,8299.950195,8322.200195,8225.049805,8305.400391
2015-08-24,7809.0,8060.049805,7769.399902,8055.950195
2015-08-25,7880.700195,7925.399902,7667.25,7895.399902
2015-08-26,7791.850098,7930.049805,7777.100098,7865.25
2015-08-27,7948.950195,7963.600098,7862.299805,7921.600098
2015-08-28,8001.950195,8091.799805,7961.649902,8053.700195
2015-08-31,7971.299805,8043.600098,7947.950195,8009.25
2015-09-01,7785.850098,7929.100098,7746.5,7907.950195
2015-09-02,7717.0,7862.549805,7699.25,7856.649902
2015-09-03,7823.0,7845.600098,7754.049805,7774.450195
2015-09-04,7655.049805,7804.899902,7626.850098,7803.399902
2015-09-07,7558.799805,7705.049805,7545.899902,7685.850098
2015-09-08,7688.25,7720.899902,7539.5,7587.700195
2015-09-09,7818.600098,7846.049805,7764.549805,7805.850098
2015-09-10,7788.100098,7819.850098,7678.5,7729.049805
2015-09-11,7789.299805,7864.850098,7759.899902,7833.799805
2015-09-14,7872.25,7879.950195,7761.850098,7811.100098
2015-09-15,7829.100098,7880.0,7799.75,7867.350098
2015-09-16,7899.149902,7913.899902,7853.299805,7886.850098
2015-09-18,7981.899902,8055.0,7955.850098,7967.450195
2015-09-21,7977.100098,7987.899902,7908.350098,7911.5
2015-09-22,7812.0,8021.600098,7787.75,8014.799805
2015-09-23,7845.950195,7882.899902,7723.25,7737.350098
2015-09-24,7868.5,7894.5,7804.100098,7838.399902
2015-09-28,7795.700195,7893.950195,7787.950195,7892.799805
2015-09-29,7843.299805,7926.549805,7691.200195,7725.700195
2015-09-30,7948.899902,7957.700195,7874.5,7924.25
2015-10-01,7950.899902,8008.25,7930.649902,7992.049805
2015-10-05,8119.299805,8128.899902,8005.100098,8005.100098
2015-10-06,8152.899902,8180.950195,8096.5,8180.450195
2015-10-07,8177.399902,8188.899902,8132.899902,8146.200195
2015-10-08,8129.350098,8196.75,8105.850098,8196.75
2015-10-09,8189.700195,8232.200195,8139.649902,8186.350098
2015-10-12,8143.600098,8244.5,8128.200195,8231.5
2015-10-13,8131.700195,8150.25,8088.600098,8121.950195
2015-10-14,8107.899902,8139.299805,8096.350098,8102.399902
2015-10-15,8179.5,8190.549805,8129.799805,8134.350098
2015-10-16,8238.150391,8246.400391,8147.649902,8193.650391
2015-10-19,8275.049805,8283.049805,8239.200195,8262.549805
2015-10-20,8261.650391,8294.049805,8229.200195,8280.299805
2015-10-21,8251.700195,8294.400391,8217.150391,8258.349609
2015-10-23,8295.450195,8328.099609,8280.75,8308.25
2015-10-26,8260.549805,8336.299805,8252.049805,8333.650391
2015-10-27,8232.900391,8241.950195,8217.049805,8230.349609
2015-10-28,8171.200195,8209.099609,8131.799805,8188.899902
2015-10-29,8111.75,8179.600098,8098.0,8175.450195
2015-10-30,8065.799805,8146.100098,8044.399902,8123.549805
2015-11-02,8050.799805,8060.700195,7995.600098,8054.549805
2015-11-03,8060.700195,8100.350098,8031.75,8086.350098
2015-11-04,8040.200195,8116.100098,8027.299805,8104.899902
2015-11-05,7955.450195,8031.200195,7944.100098,8030.350098
2015-11-06,7954.299805,8002.649902,7926.149902,7956.549805
2015-11-09,7915.200195,7937.75,7771.700195,7788.25
2015-11-10,7783.350098,7885.100098,7772.850098,7877.600098
2015-11-13,7762.25,7847.950195,7730.899902,7838.799805
2015-11-16,7806.600098,7838.850098,7714.149902,7732.950195
2015-11-17,7837.549805,7860.450195,7793.0,7848.75
2015-11-18,7731.799805,7843.399902,7725.049805,7823.149902
2015-11-19,7842.75,7854.899902,7765.450195,7788.5
2015-11-20,7856.549805,7906.950195,7817.799805,7841.899902
2015-11-23,7849.25,7877.5,7825.200195,7869.5
